SID,Score,Correctly states that frequency is proportional to energy of light,Explaining sentence 1: energy levels of an electron in an atom are quantized,Explaining sentence 1: FULLY explains energy/frequency absorbed must equal the difference in energy levels in an electron,Explaining sentence 1: PARTIALLY explains energy/frequency absorbed must equal the difference in energy levels in an electron,Explaining sentence 2: a minimum amount of energy is needed to eject an electron,Explaining sentence 2: any additional energy becomes kinetic energy,Incorrect statement included,Incorrect,Blank,Adjustment,Comments
ba244d41-ec7d-4feb-ba44-ab6bf6ef2981,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
74348a75-54cb-477d-9efa-7f5b522f0637,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
83705fbf-d8aa-4e13-a7a2-c4139ee888ff,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,"E total is IE + KE, not PE"
9617c4fd-8d26-44d5-a501-97b94f44b2db,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
7e7ac384-39cb-4c52-9128-6f41b10a226a,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
945e933e-60c6-4e77-acf7-a5fd718a686e,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
ca2aeaf5-fee1-4eef-b1bf-15d804125704,6,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
39b22844-7fc9-4bb4-829a-3276cef39f46,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
6b34994a-9e1c-497a-ae37-8fac0280491b,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
099e3df9-ff50-43c4-843f-f0777fcb4ea0,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
b74a250a-8e5e-45f7-800c-ce0cb3210825,5,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
